team,month,article_count,audience_counts,audience_counts_by_teams,ranking
HT,1,455,0,0,0
HT,2,436,0,0,0
HT,3,853,0,36500,2
HT,4,1331,0,171086,1
HT,5,1063,0,264213,1
HT,6,1339,0,220945,1
HT,7,1568,0,159419,1
HT,8,1690,0,160983,1
HT,9,1832,0,246103,1
HT,10,1769,0,0,0
HT,11,626,0,0,0
HT,12,0,0,0,0
SS,1,361,0,0,0
SS,2,170,0,0,0
SS,3,596,0,68365,8
SS,4,690,0,129053,3
SS,5,876,0,254785,4
SS,6,992,0,192050,3
SS,7,905,0,216372,3
SS,8,1083,0,294397,2
SS,9,890,0,192000,2
SS,10,3020,0,0,0
SS,11,334,0,0,0
SS,12,0,0,0,0
LG,1,434,0,0,0
LG,2,218,0,0,0
LG,3,649,0,93190,5
LG,4,903,0,210975,5
LG,5,855,0,185446,2
LG,6,902,0,235927,2
LG,7,1006,0,198377,2
LG,8,867,0,223768,3
LG,9,873,0,249816,3
LG,10,2148,0,0,0
LG,11,270,0,0,0
LG,12,0,0,0,0
OB,1,162,0,0,0
OB,2,221,0,0,0
OB,3,468,0,71250,6
OB,4,682,0,206011,6
OB,5,1028,0,241367,3
OB,6,916,0,262399,4
OB,7,1084,0,144202,5
OB,8,722,0,218092,4
OB,9,623,0,158447,4
OB,10,452,0,0,0
OB,11,357,0,0,0
OB,12,0,0,0,0
KT,1,161,0,0,0
KT,2,166,0,0,0
KT,3,356,0,51353,10
KT,4,507,0,95313,9
KT,5,668,0,117392,7
KT,6,598,0,209449,9
KT,7,564,0,77813,6
KT,8,394,0,129725,5
KT,9,438,0,162897,5
KT,10,1427,0,0,0
KT,11,399,0,0,0
KT,12,0,0,0,0
SK,1,189,0,0,0
SK,2,109,0,0,0
SK,3,290,0,79301,4
SK,4,696,0,202861,4
SK,5,501,0,156084,5
SK,6,538,0,179538,5
SK,7,401,0,155544,4
SK,8,252,0,195487,6
SK,9,397,0,174958,6
SK,10,118,0,0,0
SK,11,175,0,0,0
SK,12,0,0,0,0
LT,1,175,0,0,0
LT,2,370,0,0,0
LT,3,687,0,65886,9
LT,4,961,0,162748,10
LT,5,822,0,236709,10
LT,6,1099,0,209559,7
LT,7,750,0,109330,9
LT,8,782,0,170391,8
LT,9,764,0,248217,7
LT,10,276,0,0,0
LT,11,263,0,0,0
LT,12,0,0,0,0
HH,1,172,0,0,0
HH,2,487,0,0,0
HH,3,1496,0,36000,1
HH,4,1434,0,144000,8
HH,5,1294,0,154179,8
HH,6,1103,0,133248,8
HH,7,808,0,119516,8
HH,8,766,0,123465,7
HH,9,757,0,93796,8
HH,10,195,0,0,0
HH,11,240,0,0,0
HH,12,0,0,0,0
NC,1,175,0,0,0
NC,2,157,0,0,0
NC,3,243,0,38966,3
NC,4,406,0,117713,2
NC,5,521,0,133036,5
NC,6,737,0,105665,6
NC,7,439,0,100925,7
NC,8,390,0,134115,9
NC,9,505,0,100747,9
NC,10,182,0,0,0
NC,11,95,0,0,0
NC,12,0,0,0,0
WO,1,214,0,0,0
WO,2,65,0,0,0
WO,3,228,0,33749,7
WO,4,532,0,164904,7
WO,5,494,0,72244,9
WO,6,498,0,155727,10
WO,7,443,0,157240,10
WO,8,483,0,183631,10
WO,9,257,0,40854,10
WO,10,74,0,0,0
WO,11,109,0,0,0
WO,12,0,0,0,0
