team,month,article_count
HT,1,455
HT,2,436
HT,3,853
HT,4,1331
HT,5,1063
HT,6,1339
HT,7,1568
HT,8,1690
HT,9,1832
HT,10,1769
HT,11,626
HT,12,0
SS,1,361
SS,2,170
SS,3,596
SS,4,690
SS,5,876
SS,6,992
SS,7,905
SS,8,1083
SS,9,890
SS,10,3020
SS,11,334
SS,12,0
LG,1,434
LG,2,218
LG,3,649
LG,4,903
LG,5,855
LG,6,902
LG,7,1006
LG,8,867
LG,9,873
LG,10,2148
LG,11,270
LG,12,0
OB,1,162
OB,2,221
OB,3,468
OB,4,682
OB,5,1028
OB,6,916
OB,7,1084
OB,8,722
OB,9,623
OB,10,452
OB,11,357
OB,12,0
KT,1,161
KT,2,166
KT,3,356
KT,4,507
KT,5,668
KT,6,598
KT,7,564
KT,8,394
KT,9,438
KT,10,1427
KT,11,399
KT,12,0
SK,1,189
SK,2,109
SK,3,290
SK,4,696
SK,5,501
SK,6,538
SK,7,401
SK,8,252
SK,9,397
SK,10,118
SK,11,175
SK,12,0
LT,1,0
LT,2,0
LT,3,0
LT,4,0
LT,5,0
LT,6,0
LT,7,0
LT,8,0
LT,9,0
LT,10,0
LT,11,0
LT,12,0
HH,1,0
HH,2,0
HH,3,0
HH,4,0
HH,5,0
HH,6,0
HH,7,0
HH,8,0
HH,9,0
HH,10,0
HH,11,0
HH,12,0
NC,1,0
NC,2,0
NC,3,0
NC,4,0
NC,5,0
NC,6,0
NC,7,0
NC,8,0
NC,9,0
NC,10,0
NC,11,0
NC,12,0
WO,1,0
WO,2,0
WO,3,0
WO,4,0
WO,5,0
WO,6,0
WO,7,0
WO,8,0
WO,9,0
WO,10,0
WO,11,0
WO,12,0
